recorded,ds1,mf1,rf1,ds2,mf2,rf2,ds3,mf3,rf3,num_neg,num_pos
2021-02-23 16:29,87.00115741,31.89583334,41.69714506,80.125,32.23881173,39.07407408,69.04359568,27.45717593,32.4845679,0,1
2021-02-23 16:59,85.28703704,27,41.23148148,74.67592593,24.70370371,36.81481482,64.74074074,17.06481482,30.37037037,0,0
2021-02-23 17:29,87.17460318,23.2473545,40.23941799,83.5952381,19.86375661,39.39285715,72.62698413,15.71957672,33.67460318,1,2
2021-02-23 17:59,94.64814815,23.38888889,45.19444444,84.49074074,17.93518519,42.76851852,81.40740741,14.05555556,39.67592593,1,0
2021-02-23 18:29,90.19444444,28.65740741,43.12037037,83.96296297,27.71296296,41.62037037,78.06481482,22.30555556,37.69444445,0,0
2021-02-23 18:59,59.95679012,27.94753087,28.55246914,51.74382716,25.20370371,25.41666667,35.67901235,17.24074074,17.02469136,0,1
2021-02-23 19:29,48.60493827,17.17592593,16.61419753,42.82098765,15.08024692,14.79012346,28.07716049,10.01234568,9.438271604,4,3
2021-02-23 19:59,41.73148148,15.59567901,14.95987654,40.67283951,15.43209877,14.88271605,28.10185185,10.65123457,10.08333333,8,6
2021-02-23 20:29,35.78395062,13.66975309,12.89506173,34.44135802,13.27160494,12.78703703,22.16666667,8.456790124,7.904320988,3,6
2021-02-23 20:59,31.46604939,12.24382716,11.38888889,29.87345679,11.74074074,11.11419753,17.02160494,6.583333333,6.114197531,4,9
2021-02-23 21:29,31.11496914,12.05478395,11.07716049,30.52777778,11.63734568,11.06867284,15.4220679,5.873456791,5.328703704,8,11
2021-02-23 21:59,22.7962963,8.86419753,8.206790123,23.99691358,9.299382715,8.848765433,10.7808642,4.200617284,3.75617284,8,8
2021-02-23 22:29,17.62037037,7.311728395,6.552469136,18.34567901,7.75617284,7.089506173,8.561728395,3.712962963,3.219135803,12,13
2021-02-23 22:59,15.0619213,4.163001543,3.84220679,18.22685185,4.989197531,4.618055556,6.275077161,1.949459877,1.740933642,14,17
2021-02-23 23:29,11.41493056,3.619984568,3.289351852,13.44405864,4.256558642,3.918016975,3.239390432,1.026234568,0.976466049,4,18
